location,mean_X,mean_Y,mean_Z,std_X,std_Y,std_Z,skew_X,skew_Y,skew_Z,label
1,0.18189168,0.13626348,-0.98034717,0.01453494,0.051402213,0.029446349,-1.545917842,-0.140147616,-1.806415805,11
1,0.23348836,0.19181858,-0.93994445,0.099619206,0.16660814,0.10684627,2.46721917,2.197262269,2.144284953,11
1,0.22252836,0.16074315,-0.89543609,0.16496364,0.375085276,0.18746712,1.013758307,-1.453986356,-3.802758676,11
1,0.22597534,0.26852827,-0.91725541,0.039693387,0.23720021,0.097009657,1.423527302,0.68283191,-0.255378738,11
1,0.26478102,-0.07374462,-0.96899426,0.010115482,0.076529653,0.0152842,-0.173926873,0.690783028,-0.620198056,11
1,0.27676555,-0.16274048,-0.94924193,0.040948581,0.11552877,0.025163196,2.683306188,1.867447373,1.239615721,11
1,0.20121383,0.24006025,-0.95304533,0.020366381,0.101673607,0.025358675,-0.550952716,0.456289987,1.08975743,11
1,0.18727879,0.25905304,-0.95111602,0.017379255,0.088504203,0.024123049,0.102836335,0.266690039,0.241041727,11
1,0.19310306,0.19110837,-0.90298922,0.068659605,0.346112752,0.108729091,0.146116841,-1.748521592,1.537787832,11
1,0.20399333,0.47459742,-0.86293474,0.008545223,0.010007123,0.006044456,-0.905296894,-0.035178697,-0.747587624,11
1,0.21439026,0.47052658,-0.86223722,0.004900532,0.007589681,0.003790411,-0.358551969,0.264694661,-0.603628469,11
1,0.20643647,0.47770963,-0.86072737,0.003939177,0.012416813,0.009591291,-0.219632498,0.217955816,-4.669923498,11
1,0.23000136,0.04849215,-0.95244049,0.052991262,0.218911118,0.066705453,-4.319634798,1.337839651,0.942201225,11
1,0.23348861,0.10493726,-0.95406843,0.054027228,0.218129952,0.054360677,-2.999260657,0.820945059,0.471144396,11
1,0.21419663,0.20263014,-0.94216969,0.054077883,0.273233642,0.095484078,2.084988545,1.649481915,0.275169861,11
1,0.20581146,0.30511289,-0.910231,0.051367799,0.204492933,0.066622281,-3.444797347,-0.246316162,0.097805531,11
1,0.21230208,0.2382619,-0.93325532,0.039340156,0.195646658,0.072193031,3.056370416,0.43819074,0.143221023,11
1,0.22085969,0.21193848,-0.93406263,0.073910059,0.204528768,0.079125449,0.550819086,-0.019315169,1.192197236,11
1,0.24650768,0.25992091,-0.91000814,0.08333908,0.220335499,0.085057234,0.491031727,0.351149763,0.197100133,11
1,0.15689105,0.48170882,-0.86958558,0.012485327,0.027215134,0.017743827,-0.090826462,0.165062964,0.025238411,11
